,comp_exact,comp_approx1,comp_approx2,comp_approx3,comp_approx4,comp_approx5,comp_approx6
delay,4.862e-11,4.125e-11,3.48e-11,3.871e-11,4.3299999999999995e-11,3.242e-11,2.6949999999999998e-11
power,2.7029896250000003e-07,2.63887625e-07,1.90921375e-07,2.285058695652174e-07,2.1553523478260869e-07,2.03688625e-07,1.5417118181818182e-07
