,ema,exa,sma,ama1,ama2,axa2,axa3
delay,6.717e-11,1.191e-09,5.745e-11,5.221e-11,9.023e-12,6.231e-10,8.673e-10
power,3.1189229166666657e-07,3.730167875e-07,2.1571932941176472e-07,2.0692979999999998e-07,1.1139089062499998e-07,5.09208875e-08,5.5412950833333326e-08
