,comp_exact,comp_approx1,comp_approx2,comp_approx3,comp_approx4,comp_approx5,comp_approx6
ED,0.0,24.0,8.0,80.0,88.0,120.0,96.0
ER,0.0,0.09375,0.03125,0.3125,0.34375,0.46875,0.375
