,energy,avg_power,n_ops
sma,3.63791596e-13,2.425277306666667e-06,314.0
ama1,9.86289871e-14,6.575265806666666e-07,138.0
ama2,1.7994915399999994e-13,1.1996610266666664e-06,251.0
edc,9.311738099999998e-14,6.2078254e-07,173.0
axdc2,4.792210990000001e-14,3.194807326666667e-07,146.0
axdc6,3.563074200000001e-14,2.3753828000000008e-07,253.0
