,edc,axdc2,axdc6,sma,ama1,ama2
energy,1.1089763999999997e-13,1.0199494830000002e-13,5.4341412999999984e-14,4.197640999999999e-13,1.1906090000000001e-13,1.7243919000000003e-13
power,4.435905599999999e-05,4.079797931999998e-05,2.1736565200000002e-05,0.00016790563999999992,4.762436000000001e-05,6.897567600000002e-05
energy_per_comparison,1.2186553846153844e-15,1.120823607692308e-15,4.454214180327868e-16,2.4692005882352936e-15,1.5071000000000002e-15,1.6741668932038837e-15
power_per_comparison,4.874621538461538e-07,4.4832944307692286e-07,1.7816856721311476e-07,9.876802352941172e-07,6.028400000000001e-07,6.696667572815536e-07
avg_energy,3.696587999999999e-15,3.3998316100000008e-15,1.8113804333333327e-15,1.3992136666666664e-14,3.968696666666667e-15,5.747973000000001e-15
avg_power,1.4786351999999997e-06,1.3599326439999993e-06,7.245521733333334e-07,5.596854666666664e-06,1.587478666666667e-06,2.2991892000000006e-06
num_inputs,30.0,30.0,30.0,30.0,30.0,30.0
n_ops,91.0,91.0,122.0,170.0,79.0,103.0
