,energy,avg_power,n_ops
sma,4.596373600000001e-13,8.754997333333333e-06,199.0
ama1,1.3244595000000007e-13,2.5227799999999992e-06,79.0
ama2,2.0002156999999995e-13,3.8099346666666678e-06,158.0
edc,1.2572380800000001e-13,2.3947391999999996e-06,120.0
axdc2,9.403943499999998e-14,1.7912273333333325e-06,116.0
axdc6,4.968494999999998e-14,9.463800000000002e-07,141.0
