,edc,axdc2,axdc6,sma,ama1,ama2
energy,1.0377161199999999e-12,3.7123205e-13,1.0194065e-12,4.6388061999999995e-12,1.14653763e-12,2.0661508e-12
power,0.000415086448,0.00014849282,0.0004077626,0.0018555224799999999,0.00045861505199999995,0.00082646032
energy_per_comparison,6.232529249249249e-16,2.2296219219219217e-16,6.122561561561561e-16,1.3930348948948947e-15,6.886111891891892e-16,1.2409314114114116e-15
power_per_comparison,2.4930116996997e-07,8.918487687687687e-08,2.449024624624624e-07,5.572139579579579e-07,2.7544447567567566e-07,4.963725645645645e-07
avg_energy,1.6290676923076922e-15,5.827818681318682e-16,1.6003241758241758e-15,7.282270329670329e-15,1.799902087912088e-15,3.2435648351648354e-15
avg_power,6.516270769230769e-07,2.3311274725274723e-07,6.401296703296703e-07,2.9129081318681317e-06,7.199608351648351e-07,1.297425934065934e-06
num_inputs,637.0,637.0,637.0,637.0,637.0,637.0
n_ops,1665.0,1665.0,1665.0,3330.0,1665.0,1665.0
