,energy,avg_power,n_ops
sma,4.2034503000000037e-13,3.0024644999999996e-06,211.0
ama1,1.2341692999999995e-13,8.815495e-07,83.0
ama2,2.2438919999999983e-13,1.6027799999999998e-06,166.0
edc,9.125319699999995e-14,6.518085500000003e-07,123.0
axdc2,6.213481260000003e-14,4.438200900000003e-07,113.0
axdc6,3.1876547499999923e-14,2.276896250000004e-07,166.0
