,edc,axdc2,axdc6,sma,ama1,ama2
energy,2.0765621799999997e-12,6.970542319999998e-13,3.686894609999999e-12,1.20328432e-11,4.166967630000001e-12,2.17521535e-12
power,0.0008306248719999998,0.0002788216928,0.0014747578439999996,0.00481313728,0.001666787052,0.0008700861399999999
energy_per_comparison,6.03476367335077e-16,2.0257315664051142e-16,1.0714602179598953e-15,1.7484514966579481e-15,1.2109757715780298e-15,6.321462801511188e-16
power_per_comparison,2.4139054693403074e-07,8.102926265620459e-08,4.28584087183958e-07,6.993805986631793e-07,4.843903086312119e-07,2.528585120604475e-07
avg_energy,3.3439004508856676e-15,1.1224705829307567e-15,5.937028357487922e-15,1.9376559098228663e-14,6.710092801932369e-15,3.5027622383252816e-15
avg_power,1.337560180354267e-06,4.4898823317230275e-07,2.3748113429951684e-06,7.750623639291466e-06,2.684037120772947e-06,1.4011048953301126e-06
num_inputs,621.0,621.0,621.0,621.0,621.0,621.0
n_ops,3441.0,3441.0,3441.0,6882.0,3441.0,3441.0
