,edc,axdc2,axdc6,sma,ama1,ama2
energy,1.3988435999999998e-13,2.5866876e-14,3.5806393e-13,1.1102755999999997e-12,3.0881115999999997e-13,2.9470307299999997e-12
power,5.595374399999999e-05,1.0346750399999999e-05,0.000143225572,0.00044411023999999996,0.00012352446399999998,0.0011788122919999997
energy_per_comparison,3.354541007194244e-16,6.203087769784173e-17,8.586664988009592e-16,1.3312657074340524e-15,7.405543405275778e-16,5.598462632978723e-16
power_per_comparison,1.3418164028776978e-07,2.4812351079136687e-08,3.434665995203837e-07,5.325062829736211e-07,2.9622173621103115e-07,2.2393850531914887e-07
avg_energy,7.362334736842104e-16,1.3614145263157893e-16,1.884547e-15,5.843555789473683e-15,1.625321894736842e-15,1.5510688052631576e-14
avg_power,2.9449338947368417e-07,5.4456581052631575e-08,7.538188e-07,2.3374223157894737e-06,6.501287578947367e-07,6.20427522105263e-06
num_inputs,190.0,190.0,190.0,190.0,190.0,190.0
n_ops,417.0,417.0,417.0,834.0,417.0,5264.0
