,edc,axdc2,axdc6,sma,ama1,ama2
energy,2.4787355599999997e-13,5.2650912999999995e-14,6.148539249999999e-13,2.0394635799999998e-12,5.5773256e-13,1.11939345e-11
power,9.91494224e-05,2.10603652e-05,0.00024594157,0.0008157854319999999,0.000223093024,0.0044775738
energy_per_comparison,3.06774202970297e-16,6.516202103960396e-17,7.609578279702969e-16,1.2620442945544552e-15,6.902630693069307e-16,8.769239717978848e-16
power_per_comparison,1.2270968118811882e-07,2.6064808415841585e-08,3.043831311881188e-07,5.048177178217821e-07,2.761052277227723e-07,3.507695887191539e-07
avg_energy,7.184740753623188e-16,1.5261134202898548e-16,1.782185289855072e-15,5.911488637681159e-15,1.616616115942029e-15,3.244618695652174e-14
avg_power,2.873896301449275e-07,6.10445368115942e-08,7.12874115942029e-07,2.3645954550724636e-06,6.466464463768116e-07,1.2978474782608695e-05
num_inputs,345.0,345.0,345.0,345.0,345.0,345.0
n_ops,808.0,808.0,808.0,1616.0,808.0,12765.0
