,edc,axdc2,axdc6,sma,ama1,ama2
energy,1.0300875199999998e-13,8.245533799999999e-14,3.4594790999999996e-14,4.7548284e-13,1.4925848e-13,1.4893689999999997e-13
power,4.120350079999999e-05,3.298213520000001e-05,1.3837916399999995e-05,0.000190193136,5.970339199999999e-05,5.957476e-05
energy_per_comparison,1.1574017078651684e-15,9.587829999999998e-16,3.425226831683168e-16,2.9717677499999998e-15,2.1022321126760563e-15,1.6548544444444442e-15
power_per_comparison,4.6296068314606734e-07,3.835132000000001e-07,1.3700907326732667e-07,1.1887071e-06,8.408928450704225e-07,6.619417777777778e-07
avg_energy,4.905178666666666e-15,3.9264446666666666e-15,1.6473709999999998e-15,2.2642039999999997e-14,7.107546666666667e-15,7.092233333333332e-15
avg_power,1.9620714666666665e-06,1.570577866666667e-06,6.589483999999998e-07,9.056816e-06,2.8430186666666665e-06,2.8368933333333335e-06
num_inputs,21.0,21.0,21.0,21.0,21.0,21.0
n_ops,89.0,86.0,101.0,160.0,71.0,90.0
