,energy,avg_power,n_ops
sma,2.972087789999999e-12,1.3209279066666658e-05,2211.0
ama1,7.453488055999999e-13,3.3126613582222223e-06,1014.0
ama2,1.8732917069999995e-12,8.325740919999997e-06,2028.0
edc,1.0002204379999994e-12,4.44542416888889e-06,1181.0
axdc2,8.795626783999992e-13,3.90916745955556e-06,1134.0
axdc6,4.672840620000003e-13,2.0768180533333307e-06,1962.0
