,energy,avg_power,n_ops
sma,2.0865532885399995e-10,5.1260368223559636e-06,211991.0
ama1,4.204069018660005e-11,1.032813909509889e-06,96287.0
ama2,1.59708196158e-10,3.923552294754937e-06,192574.0
edc,7.36609596099999e-11,1.8096292742906258e-06,115704.0
axdc2,3.221427037208791e-11,7.914081899542561e-07,107532.0
axdc6,3.602512964050003e-11,8.850295944110074e-07,176441.0
