,edc,axdc2,axdc6,sma,ama1,ama2
energy,7.15209726e-13,3.1725646399999993e-13,6.044088386000001e-12,4.7570964e-12,1.2832434999999999e-12,4.6948573e-12
power,0.0002860838904,0.0001269025856,0.0024176353544,0.00190283856,0.0005132973999999999,0.0018779429199999999
energy_per_comparison,2.3434132568807336e-16,1.0395034862385318e-16,7.859672803641093e-16,7.793408256880734e-16,4.204598623853211e-16,1.0938623718546131e-15
power_per_comparison,9.373653027522936e-08,4.1580139449541283e-08,3.143869121456437e-07,3.1173633027522937e-07,1.681839449541284e-07,4.3754494874184526e-07
avg_energy,4.4040007758620687e-16,1.9535496551724133e-16,3.721729301724138e-15,2.9292465517241378e-15,7.901745689655171e-16,2.8909219827586206e-15
avg_power,1.7616003103448275e-07,7.814198620689655e-08,1.4886917206896551e-06,1.171698620689655e-06,3.1606982758620684e-07,1.1563687931034482e-06
num_inputs,1624.0,1624.0,1624.0,1624.0,1624.0,1624.0
n_ops,3052.0,3052.0,7690.0,6104.0,3052.0,4292.0
