,energy,avg_power,n_ops
sma,4.7570964e-12,1.171698620689655e-06,6104.0
ama1,1.2832434999999999e-12,3.1606982758620684e-07,3052.0
ama2,4.6948573e-12,1.1563687931034482e-06,4292.0
edc,7.15209726e-13,1.7616003103448275e-07,3052.0
axdc2,3.1725646399999993e-13,7.814198620689655e-08,3052.0
axdc6,2.3364273659999995e-12,5.754747206896551e-07,3052.0
