,edc,axdc2,sma,ama1,ama2
energy,4.314699200000001e-13,2.789451979999997e-13,5.539168599999992e-13,3.1436785799999977e-13,6.608108500000004e-13
power,0.00017258796799999988,0.00011157807920000014,0.00022156674399999995,0.00012574714320000012,0.00026432433999999986
avg_energy,1.1444825464190984e-15,7.399076870026517e-16,2.2245657028112417e-15,1.2625215180722882e-15,1.3541205942622958e-15
avg_power,4.5779301856763893e-07,2.959630748010614e-07,8.898262811244978e-07,5.050086072289162e-07,5.416482377049178e-07
n_ops,377.0,377.0,249.0,249.0,488.0
