,edc,axdc2,sma,ama1,ama2
energy,5.932003699999999e-13,3.749604433399999e-13,1.1716586000000009e-12,7.219235799999989e-13,1.1166230600000004e-12
power,0.00023728014800000017,0.00014998417733599984,0.0004686634400000003,0.00028876943199999987,0.0004466492239999988
avg_energy,1.2980314442013127e-15,8.204823705470457e-16,2.6750196347031985e-15,1.648227351598171e-15,1.4888307466666671e-15
avg_power,5.192125776805256e-07,3.28192948218818e-07,1.0700078538812793e-06,6.592909406392692e-07,5.955322986666651e-07
n_ops,457.0,457.0,438.0,438.0,750.0
