,edc,axdc2,sma,ama1,ama2
energy,5.880588762999994e-13,1.2489352260000123e-12,1.110031859999999e-12,7.365852200000004e-13,1.313369959999998e-12
power,0.00023522355052000023,0.0004995740904000006,0.0004440127439999998,0.000294634088,0.000525347984000001
avg_energy,1.202574389161553e-15,7.546436410876207e-16,2.9679996256684466e-15,1.9694791978609638e-15,1.537903934426227e-15
avg_power,4.810297556646222e-07,3.0185745643504566e-07,1.1871998502673792e-06,7.877916791443851e-07,6.151615737704929e-07
n_ops,489.0,1655.0,374.0,374.0,854.0
