,energy,avg_power,n_ops
sma,2.0394635799999998e-12,2.3645954550724636e-06,1616.0
ama1,5.5773256e-13,6.466464463768116e-07,808.0
ama2,1.11939345e-11,1.2978474782608695e-05,12765.0
edc,2.4787355599999997e-13,2.873896301449275e-07,808.0
axdc2,5.2650912999999995e-14,6.10445368115942e-08,808.0
axdc6,1.0033517633999999e-11,1.1633063923478256e-05,12765.0
