,energy,avg_power,n_ops
sma,1.20328432e-11,7.750623639291466e-06,6882.0
ama1,4.166967630000001e-12,2.684037120772947e-06,3441.0
ama2,2.17521535e-12,1.4011048953301126e-06,3441.0
edc,2.0765621799999997e-12,1.337560180354267e-06,3441.0
axdc2,6.970542319999998e-13,4.4898823317230275e-07,3441.0
axdc6,1.4693566159999998e-11,9.464454853462157e-06,14260.0
