,energy,avg_power,n_ops
sma,1.1102755999999997e-12,2.3374223157894737e-06,834.0
ama1,3.0881115999999997e-13,6.501287578947367e-07,417.0
ama2,2.9470307299999997e-12,6.20427522105263e-06,5264.0
edc,1.3988435999999998e-13,2.9449338947368417e-07,417.0
axdc2,2.5866876e-14,5.4456581052631575e-08,417.0
axdc6,4.264072644999999e-12,8.976995042105261e-06,5264.0
