,energy,avg_power,n_ops
sma,4.6388061999999995e-12,2.9129081318681317e-06,3330.0
ama1,1.14653763e-12,7.199608351648351e-07,1665.0
ama2,2.0661508e-12,1.297425934065934e-06,1665.0
edc,1.0377161199999999e-12,6.516270769230769e-07,1665.0
axdc2,3.7123205e-13,2.3311274725274723e-07,1665.0
axdc6,1.52566484e-11,9.580312967032965e-06,25480.0
