,ema,exa,sma,ama1,ama2,axa2,axa3
delay,7.542e-11,9.9e-10,5.344e-11,5.503e-11,2.1069999999999998e-11,1.3240000000000001e-11,7.777e-10
power,2.8580687916666665e-07,2.38745583750625e-07,2.0753613671875e-07,2.0729487058823527e-07,1.710907625e-07,6.491874101562499e-08,5.304226484375e-08
