,comp_exact,comp_approx1,comp_approx2,comp_approx3,comp_approx4,comp_approx5,comp_approx6
delay,4.644e-11,3.907e-11,3.1979999999999996e-11,3.652e-11,4.1130000000000004e-11,3.025e-11,2.4850000000000003e-11
power,2.442337625e-07,2.4197449999999995e-07,1.6487724999999998e-07,2.0229954347826086e-07,1.9233592989130436e-07,1.7716103125e-07,1.280408181818182e-07
