,inv,mux21,nand2,nand3,nand4,nand5,nor2,nor4
delay,5.038e-12,5.942e-12,7.546e-12,1.121e-11,1.546e-11,1.803e-11,9.771e-12,2.138e-11
power,1.9296666666666667e-07,9.955810277777779e-09,1.0648983333333335e-07,1.1637500000000001e-07,1.25566875e-07,2.08712e-07,1.0640291666666667e-07,1.2678691666666667e-07
